naive,seq54,1.0
seq54,seq65,1.0
seq54,seq55,1.0
seq54,seq80,1.0
seq54,seq38,1.0
seq54,seq31,1.0
seq54,seq50,1.0
seq54,seq53,1.0
seq54,seq60,1.0
seq80,seq68,1.0
seq68,seq70,1.0
naive,seq23,1.0
seq23,seq7,1.0
seq23,seq17,1.0
seq23,seq22,1.0
seq23,seq24,1.0
seq65,seq67,1.0
seq68,seq76,1.0
seq68,seq77,1.0
seq68,seq78,1.0
seq23,seq26,1.0
seq23,seq27,1.0
seq23,seq28,1.0
seq23,seq29,1.0
seq80,seq83,1.0
seq80,seq86,1.0
seq38,seq46,1.0
seq80,seq81,1.0
seq31,seq33,1.0
seq33,seq34,1.0
seq7,seq16,1.0
seq46,seq47,1.0
seq46,seq42,1.0
seq46,seq44,1.0
seq46,seq45,1.0
seq46,seq48,1.0
seq46,seq49,1.0
naive,seq6,1.0
seq55,seq56,1.0
seq55,seq58,1.0
seq80,seq79,1.0
seq80,seq85,1.0
seq38,seq35,1.0
seq38,seq37,1.0
seq7,seq11,1.0
seq86,seq87,1.0
naive,seq4,1.0
seq38,seq36,1.0
seq38,seq39,1.0
seq38,seq40,1.0
seq70,seq71,1.0
seq70,seq72,1.0
seq70,seq74,1.0
seq7,seq8,1.0
seq7,seq9,1.0
seq7,seq15,1.0
seq17,seq18,1.0
seq22,seq20,1.0
seq81,seq82,1.0
naive,seq1,1.0
seq22,seq19,1.0
seq22,seq21,1.0
seq24,seq25,1.0
seq31,seq30,1.0
seq31,seq32,1.0
seq31,seq59,1.0
seq11,seq12,1.0
seq85,seq84,1.0
seq15,seq10,1.0
seq1,seq2,1.0
seq2,seq3,1.0
seq65,seq61,2.0
seq61,seq62,1.0
seq62,seq63,1.0
seq62,seq64,1.0
seq68,seq69,2.0
seq68,seq75,2.0
seq46,seq43,2.0
seq55,seq57,2.0
seq86,seq88,2.0
seq70,seq73,2.0
naive,seq5,2.0
seq67,seq66,2.0
seq54,seq51,3.0
seq51,seq52,2.0
seq7,seq13,3.0
seq13,seq14,1.0
seq38,seq41,3.0
