naive,ee331,1.0
naive,ee428,1.0
naive,None1,1.0
naive,eeb4f,2.0
naive,ef3fd,2.0
naive,f14ef,2.0
naive,edd60,3.0
naive,edfe8,3.0
naive,eec4d,3.0
naive,ef375,3.0
naive,f3e7e,3.0
naive,f6a43,3.0
naive,ef970,4.0
naive,f22b5,4.0
naive,f6b40,4.0
naive,ee257,5.0
naive,edfa7,6.0
naive,f31db,6.0
naive,f20df,6.0
naive,f2e43,9.0
ee331,f0d5b,1.0
ee331,ef422,1.0
ee331,edf2d,3.0
ee331,ee96d,3.0
ee331,f0277,3.0
ee331,ee0ae,6.0
edf2d,ee58a,3.0
edf2d,f1ab0,3.0
edf2d,f17c7,4.0
edf2d,ee88b,5.0
edf2d,ef20e,5.0
edf2d,ee499,6.0
ee58a,f034a,3.0
f034a,f1864,3.0
f1864,None2,1.0
None2,f51d6,2.0
None2,f5724,2.0
f5724,ee364,3.0
ee364,eed97,5.0
ee88b,ee251,5.0
ee251,ee06a,2.0
ee251,f17a9,2.0
ee96d,ee4e5,2.0
f0277,f17fc,2.0
ee0ae,None3,1.0
ee0ae,efbe8,4.0
None3,ee151,1.0
None3,f36e9,1.0
None3,f4427,1.0
None3,f4554,1.0
f4554,f7275,2.0
f4554,edf33,3.0
edf33,f3128,1.0
efbe8,f1cae,7.0
ee428,f32eb,1.0
ee428,f0033,6.0
None1,eea7e,1.0
None1,f1b6c,1.0
eea7e,edd3a,2.0
eea7e,f5336,2.0
eea7e,eed4c,6.0
eea7e,efad3,9.0
eed4c,ee409,1.0
eed4c,f2d3b,2.0
ee409,None4,1.0
ee409,f278f,1.0
None4,f22f3,0.0
None4,f4976,0.0
f1b6c,ef64f,3.0
ef64f,f26b3,2.0
ef64f,f0efb,3.0
f26b3,edd25,1.0
f26b3,f10bb,2.0
f26b3,f546c,5.0
edd25,edd95,1.0
edd25,ee4f4,1.0
edd25,ef3a6,1.0
edd25,f23f5,1.0
edd25,edd41,2.0
edd25,f3292,2.0
edd25,f58b6,2.0
edd25,f3d45,2.0
edd95,f63d9,7.0
edd41,f1873,1.0
edd41,f2a05,1.0
edd41,f4fdf,1.0
eeb4f,f2687,1.0
eeb4f,f67e1,1.0
f2687,f19cb,5.0
ef3fd,edf62,1.0
ef3fd,efae4,4.0
ef3fd,ee3c5,5.0
ee3c5,ef56d,1.0
ee3c5,f1564,1.0
ee3c5,f1dd4,1.0
edd60,f06e1,1.0
edd60,f2808,1.0
edd60,f32c8,1.0
edfe8,ee067,3.0
edfe8,f03cf,4.0
ee067,f5b98,1.0
ee067,f2915,2.0
ee067,f1a20,3.0
ee067,ee973,5.0
ee067,f06fa,5.0
f2915,f3c72,1.0
f03cf,f659c,5.0
eec4d,f5ec9,1.0
eec4d,f327d,5.0
f327d,ee196,4.0
ee196,f1201,1.0
ee196,ee5d9,5.0
ef375,f4462,3.0
ef375,f5723,5.0
f4462,f1e7f,1.0
f1e7f,edda5,1.0
f6a43,eeac9,8.0
eeac9,f0bd1,1.0
ef970,f266b,2.0
ee257,f3fab,1.0
ee257,f5a7d,1.0
edfa7,f1b50,1.0
f31db,f51e1,1.0
f2e43,f3a15,3.0
f3a15,None5,1.0
f3a15,None6,1.0
None5,f49f3,1.0
None5,f36d4,1.0
None6,ee49b,3.0
None6,ee859,3.0
